DATE,PRCP
4/1/2021,0.33
4/2/2021,0.04
4/3/2021,0
4/4/2021,0
4/5/2021,0
4/6/2021,0
4/7/2021,0
4/8/2021,0
4/9/2021,0
4/10/2021,0
4/11/2021,0
4/12/2021,0.78
4/13/2021,0.53
4/14/2021,0.03
4/15/2021,0
4/16/2021,0.22
4/17/2021,0.02
4/18/2021,0
4/19/2021,0
4/20/2021,0.01
4/21/2021,0.01
4/22/2021,0.22
4/23/2021,0
4/24/2021,0
4/25/2021,0.34
4/26/2021,0.08
4/27/2021,0.01
4/28/2021,0
4/29/2021,0.01
4/30/2021,0
5/1/2021,0.02
5/2/2021,0
5/3/2021,0
5/4/2021,0.45
5/5/2021,0.03
5/6/2021,0.35
5/7/2021,0
5/8/2021,0
5/9/2021,0.5
5/10/2021,0.5
5/11/2021,0
5/12/2021,0
5/13/2021,0
5/14/2021,0
5/15/2021,0
5/16/2021,0
5/17/2021,0
5/18/2021,0
5/19/2021,0
5/20/2021,0
5/21/2021,0
5/22/2021,0
5/23/2021,0
5/24/2021,0
5/25/2021,0
5/26/2021,0
5/27/2021,0.27
5/28/2021,0
5/29/2021,1.95
5/30/2021,0.45
5/31/2021,0.41
6/1/2021,0
6/2/2021,0
6/3/2021,0
6/4/2021,0.44
6/5/2021,0.23
6/6/2021,0
6/7/2021,0
6/8/2021,0
6/9/2021,0.27
6/10/2021,0
6/11/2021,0
6/12/2021,0.03
6/13/2021,0
6/14/2021,0
6/15/2021,0.08
6/16/2021,0
6/17/2021,0
6/18/2021,0
6/19/2021,0.01
6/20/2021,0.69
6/21/2021,0
6/22/2021,0.04
6/23/2021,0.25
6/24/2021,0
6/25/2021,0
6/26/2021,0
6/27/2021,0.15
6/28/2021,0
6/29/2021,0
6/30/2021,0
